timestamp,temperature,humidity,soil_moisture,ph_level,salinity,light_intensity,health_score,anomaly,label
2026-11-09 19:12:10.847353,22.0,76.23,24.87,5.96,0.72,987.18,100.0,0,normal
2026-11-07 10:12:10.843467,20.94,73.8,25.37,6.66,0.85,661.96,100.0,0,normal
2026-08-02 04:12:10.704816,27.32,65.0,24.33,6.15,0.92,647.95,100.0,0,normal
2026-12-05 13:12:10.887272,24.16,75.02,23.42,5.78,0.31,695.46,100.0,0,normal
2027-02-12 08:12:10.986372,26.13,66.69,24.96,6.21,1.3,535.13,40.0,0,normal
2026-11-20 09:12:10.864744,19.6,74.52,25.07,6.24,0.56,590.23,40.0,0,normal
2026-06-15 01:12:10.638739,22.97,73.28,23.65,6.09,1.28,617.06,100.0,0,normal
2027-03-02 22:12:11.013812,22.16,69.3,26.76,6.19,0.66,603.34,100.0,0,normal
2026-11-19 16:12:10.863717,22.95,76.33,27.0,6.02,0.83,730.51,100.0,0,normal
2026-06-09 08:12:10.630003,26.14,76.82,23.63,6.13,0.46,577.43,40.0,0,normal
2026-09-13 15:12:10.763888,30.0,73.86,25.91,6.32,1.05,857.47,100.0,0,normal
2026-11-18 02:12:10.860921,19.55,79.79,26.11,5.85,0.86,756.34,100.0,0,normal
2026-12-27 15:12:10.919905,26.05,73.13,26.41,6.02,0.49,741.24,100.0,0,normal
2027-06-10 21:12:11.163830,20.81,77.49,25.67,5.69,0.84,727.42,100.0,0,normal
2027-05-27 02:12:11.141548,22.14,75.42,26.05,6.27,0.84,855.07,100.0,0,normal
2026-10-24 09:12:10.823120,17.0,73.99,26.52,6.23,0.53,457.33,40.0,0,normal
2026-06-15 07:12:10.639083,24.69,72.85,25.36,6.08,0.92,608.74,100.0,0,normal
2027-06-09 08:12:11.161782,23.79,72.74,25.64,5.5,0.46,903.55,100.0,0,normal
2027-03-11 17:12:11.027951,22.13,79.59,24.01,6.61,0.73,531.66,40.0,0,normal
2026-10-25 03:12:10.824116,25.76,72.54,24.64,6.27,0.52,478.75,40.0,0,normal
2027-03-18 13:12:11.037862,26.84,67.52,25.65,5.85,0.84,616.79,100.0,0,normal
2026-08-23 18:12:10.734400,24.59,66.91,26.02,6.58,0.99,412.25,40.0,0,normal
2026-12-01 07:12:10.880768,26.2,65.82,25.25,6.39,0.6,673.94,100.0,0,normal
2027-03-17 14:12:11.036465,22.66,73.23,24.7,6.63,1.05,565.38,40.0,0,normal
2027-06-01 09:12:11.149800,26.06,85.0,25.12,6.11,0.42,783.41,100.0,0,normal
2027-02-09 18:12:10.982602,27.92,73.42,24.27,6.68,0.79,983.23,100.0,0,normal
2026-08-11 20:12:10.718050,20.13,80.39,23.97,6.66,1.11,278.97,40.0,0,normal
2027-04-30 09:12:11.101130,22.98,76.44,24.28,6.19,0.51,744.28,100.0,0,normal
2027-06-04 12:12:11.154167,20.8,81.06,25.86,6.13,0.4,628.5,100.0,0,normal
2027-05-25 13:12:11.138888,23.45,73.76,23.77,6.11,0.78,720.98,100.0,0,normal
2026-06-04 10:12:10.622382,21.82,72.77,25.24,6.65,0.98,667.79,100.0,0,normal
2026-09-10 15:12:10.758844,20.91,68.05,25.11,6.33,1.13,419.34,40.0,0,normal
2027-05-25 20:12:11.139337,22.93,71.1,26.01,6.06,0.2,594.32,40.0,0,normal
2026-12-14 04:12:10.899898,20.17,76.21,25.16,5.97,0.76,772.53,100.0,0,normal
2026-05-26 02:12:11.204535,23.5,75.0,25.0,6.15,8.18,600.0,6.43,1,high_salinity
2027-02-18 05:12:10.994956,25.27,70.93,25.0,5.83,0.38,534.52,40.0,0,normal
2027-01-04 11:12:10.931820,20.11,74.6,25.2,6.12,0.52,811.57,100.0,0,normal
2026-06-01 12:12:10.618236,22.48,75.05,24.43,6.78,1.5,728.6,100.0,0,normal
2026-06-06 20:12:11.203814,23.5,75.0,28.16,6.15,0.75,600.0,50.0,1,overwater
2027-02-26 10:12:11.007004,20.94,68.26,24.49,6.01,0.49,801.98,100.0,0,normal
2027-01-08 02:12:10.937128,27.84,74.34,23.0,5.84,0.75,678.56,100.0,0,normal
2026-05-23 12:12:10.602646,22.5,72.29,26.38,6.15,0.45,444.22,40.0,0,normal
2027-05-05 08:12:11.108467,19.44,77.52,26.33,6.48,0.67,362.55,40.0,0,normal
2026-07-24 02:12:10.692564,26.69,74.07,23.8,6.18,0.43,569.88,40.0,0,normal
2027-06-01 02:12:11.149396,24.71,75.25,26.34,6.51,1.02,593.26,40.0,0,normal
2026-05-23 16:12:10.602983,25.58,68.71,24.49,6.3,0.59,579.3,40.0,0,normal
2027-03-10 08:12:11.025702,24.22,74.59,24.43,6.43,1.19,442.61,40.0,0,normal
2026-10-13 09:12:10.807338,28.82,74.27,25.78,6.09,1.19,688.47,100.0,0,normal
2026-08-03 09:12:10.706449,23.05,70.57,24.53,6.39,0.75,701.7,100.0,0,normal
2026-08-26 01:12:10.738260,24.68,73.87,24.41,5.98,0.29,263.08,40.0,0,normal
2026-12-01 18:12:10.881462,22.6,79.09,24.04,6.08,1.08,686.5,100.0,0,normal
2026-10-06 22:12:10.797681,21.71,79.65,25.15,6.28,1.09,674.03,100.0,0,normal
2027-03-27 17:12:11.051556,30.0,80.0,25.79,5.67,0.77,694.84,100.0,0,normal
2027-03-17 19:12:11.036753,28.42,78.15,23.89,6.1,0.9,391.53,40.0,0,normal
2026-09-25 09:12:10.781060,26.48,78.94,24.79,6.3,1.0,778.72,100.0,0,normal
2026-11-15 20:12:10.857072,23.34,74.13,24.51,6.27,1.33,511.32,40.0,0,normal
2026-09-25 16:12:10.781461,22.77,73.06,23.95,6.5,0.97,459.86,40.0,0,normal
2027-01-11 08:12:10.941490,21.16,73.64,25.57,5.68,0.76,750.15,100.0,0,normal
2026-09-05 02:12:10.751512,24.26,78.38,25.4,5.62,0.87,954.37,100.0,0,normal
2026-09-07 01:12:10.754089,23.55,82.21,23.64,5.94,0.31,566.52,40.0,0,normal
2026-07-10 13:12:10.673645,30.0,72.28,25.25,6.21,1.07,384.36,40.0,0,normal
2026-12-31 13:12:10.926191,27.06,85.0,25.75,6.06,0.77,646.37,100.0,0,normal
2027-03-24 22:12:11.047496,23.86,77.49,23.52,6.15,0.61,581.03,40.0,0,normal
2026-05-26 12:12:10.607905,22.16,75.77,23.43,6.42,0.39,876.29,100.0,0,normal
2026-07-15 20:12:10.680668,24.55,82.87,26.1,6.02,1.0,282.29,40.0,0,normal
2026-12-05 23:12:10.887833,20.4,80.37,24.78,5.78,1.03,534.14,40.0,0,normal
2026-09-13 18:12:10.764050,27.66,65.0,23.5,6.36,0.98,373.69,40.0,0,normal
2026-05-28 11:12:11.203980,23.5,75.0,33.67,6.15,0.75,600.0,0.0,1,overwater
2027-01-23 09:12:10.957715,24.35,71.05,24.38,6.8,1.06,645.49,100.0,0,normal
2026-09-18 21:12:10.771149,28.33,77.18,26.06,5.75,0.26,423.38,40.0,0,normal
2026-11-18 14:12:10.862045,25.63,82.72,24.72,5.72,0.95,243.46,40.0,0,normal
2026-06-24 08:12:10.651721,21.28,69.37,24.35,5.75,0.66,634.12,100.0,0,normal
2027-05-26 01:12:11.139604,26.58,83.97,26.12,5.84,0.76,830.98,100.0,0,normal
2026-09-19 15:12:10.772172,22.31,79.36,23.41,5.89,0.6,453.22,40.0,0,normal
2026-09-21 00:12:10.774254,25.29,80.38,24.4,6.22,1.1,587.22,40.0,0,normal
2027-03-28 04:12:11.052185,27.73,72.46,26.48,5.97,1.01,803.45,100.0,0,normal
